lng,lat
-60.941162,14.70331
-60.981824,14.57158
-61.049058,14.614397
-61.04284,14.616394
-61.05835,14.61573
-60.86686,14.438374
-61.07032,14.60816
-61.0705,14.6188
-61.01371,14.61485
-60.99555,14.61236
-61.05967,14.63345
-61.0659,14.60365
-61.019147,14.621758
-61.05421,14.61108
-61.063669,14.538474
-61.017079,14.528878
-60.996701,14.616932
-61.139308,14.876867
-61.01548,14.61605
-61.0553,14.60993
-60.980194,14.62513
-61.033086,14.618011
-60.982574,14.589151
-61.045263,14.615215
-61.189213,14.760773
-61.07069,14.61001
-61.05593,14.61885
-60.937049,14.562852
-61.061602,14.6041
-61.03914,14.61966
-61.032829,14.618046
-60.9914,14.62131
-60.9821,14.62513
-61.06911,14.61029
-61.0101512074,14.6443096774
-61.000904,14.598398
-61.136287,14.780132
-60.977634,14.634039
-61.0334,14.61814
-61.07247,14.60816
-61.045519,14.505099
-61.04358,14.64582
-61.031521,14.617205
-61.05258,14.61108
-61.006,14.61
-61.054949,14.832534
-61.07475,14.60245
-61.050593555,14.6156685646
-61.0568270087,14.6180407595
-61.08371,14.60475
-61.0214741528,14.6201620441
-61.074318,14.519884
-61.00977,14.63772
-61.039519,14.626794
-61.045224,14.615245
-60.9836,14.5935
-61.03917,14.62597
-61.0607,14.834787
-61.006,14.6231
-61.072754,14.62562
-61.01795,14.6177
-61.05239,14.61339
-61.07144,14.60957
-61.0057,14.60906
-61.00825,14.61222
-61.00224,14.60421
-61.0508,14.6155
-61.05456,14.61063
-61.06595,14.60603
-61.07181,14.61256
-61.0548046231,14.6307941124
-61.03621,14.61835
-61.054995,14.537914
-61.182046,14.703064
-61.018284,14.739579
-61.040869,14.617522
-61.053304,14.598491
-61.04564,14.61846
-61.00747,14.60915
-60.9941,14.6146
-61.00516,14.61895
-61.05492,14.62795
-61.0532,14.6153
-60.859473,14.522335
-60.97463,14.65669
-60.902957,14.482418
-61.005112,14.608361
-61.00322,14.60594
-60.98999,14.61571
-61.00429,14.6074
-61.06189,14.61745
-60.918342,14.612602
-61.04878,14.61659
-60.990171,14.492484
-60.964669,14.667043
-61.0703,14.60531
-61.042677,14.616507
-61.09069,14.67708
-61.05158,14.61437
-60.914243,14.469074
-61.06979,14.61602
-60.9781,14.62951
-61.002872,14.612695
-60.985144,14.574673
-60.995934,14.612528
-61.01002,14.63851
-61.028371,14.81527
-60.9898,14.5962
-61.07105,14.61814
-61.023553,14.632795
-61.082402,14.601484
-61.0182,14.63443
-61.06982,14.60809
-61.0695,14.608
-61.03538,14.6183
-60.99746,14.60367
-60.98806,14.67652
-61.07326,14.60238
-61.05978,14.61284
-60.939982,14.689253
-61.02243,14.63327
-60.99195,14.62122
-61.0724025965,14.6254097997
-61.06005,14.60961
-61.165545,14.693939
-61.01318,14.61523
-61.04771,14.61036
-61.00024,14.615998
-61.07804,14.61952
-61.01068,14.64323
-60.98877,14.62889
-61.00737,14.61779
-61.04764,14.61041
-61.08169,14.61427
-61.00022,14.60079
-61.060015,14.606146
-61.05455,14.6105
-61.07885,14.64553
-61.0321,14.61804
-61.0737,14.6101
-61.04805,14.608551
-60.981489,14.732438
-61.026251,14.627424
-61.06276,14.61468
-61.095529,14.83886
-60.934306,14.538708
-61.05547,14.62316
-61.043579,14.597421
-60.9619,14.61183
