NOM,ANNREF,GEOGRAPHIE,CODE_GEO,N122_LIB,N122_MOD,N122,N110d_LIB,N110d_MOD,N110d,RA2020_001_DIM3_LIB,RA2020_001_DIM3_MOD,RA2020_001_DIM3,VALEUR_EXTRAPOLEE,VALEUR_BRUTE,NB_ETAB,IMPUTATION
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Toutes exploitations,0,Indicateurs,Superficie agricole utilisé,002,,,1,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations spécialisées,0.11,Indicateurs,Superficie agricole utilisé,002,39.63,39.63,7,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations spécialisées,0.11,Indicateurs,Superficie agricole utilisé,002,,,3,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Exploitations spécialisées,0.11,Indicateurs,Superficie agricole utilisé,002,,,3,NON
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Exploitations spécialisées,0.11,Indicateurs,Superficie agricole utilisé,002,,,1,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Exploitations spécialisées,0.11,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations spécialisées,0.12,Indicateurs,Superficie agricole utilisé,002,29.34,29.34,12,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations spécialisées,0.12,Indicateurs,Superficie agricole utilisé,002,,,3,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Exploitations spécialisées,0.12,Indicateurs,Superficie agricole utilisé,002,9.17,9.17,5,NON
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Exploitations spécialisées,0.12,Indicateurs,Superficie agricole utilisé,002,17.64,17.64,4,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Exploitations spécialisées,0.12,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations spécialisées,0.13,Indicateurs,Superficie agricole utilisé,002,0,0,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations spécialisées,0.13,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Exploitations spécialisées,0.13,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Exploitations spécialisées,0.13,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Exploitations spécialisées,0.13,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations spécialisées,0.14,Indicateurs,Superficie agricole utilisé,002,138.12,138.12,6,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations spécialisées,0.14,Indicateurs,Superficie agricole utilisé,002,,,1,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Exploitations spécialisées,0.14,Indicateurs,Superficie agricole utilisé,002,,,3,NON
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Exploitations spécialisées,0.14,Indicateurs,Superficie agricole utilisé,002,,,1,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Exploitations spécialisées,0.14,Indicateurs,Superficie agricole utilisé,002,,,1,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations bovines spéci,0.15,Indicateurs,Superficie agricole utilisé,002,0,0,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations bovines spéci,0.15,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Exploitations bovines spéci,0.15,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Exploitations bovines spéci,0.15,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Exploitations bovines spéci,0.15,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations bovines spéci,0.16,Indicateurs,Superficie agricole utilisé,002,160.57,160.57,3,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations bovines spéci,0.16,Indicateurs,Superficie agricole utilisé,002,,,2,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Exploitations bovines spéci,0.16,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Exploitations bovines spéci,0.16,Indicateurs,Superficie agricole utilisé,002,,,1,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Exploitations bovines spéci,0.16,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations bovines - lai,0.17,Indicateurs,Superficie agricole utilisé,002,0,0,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations bovines - lai,0.17,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Exploitations bovines - lai,0.17,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Exploitations bovines - lai,0.17,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Exploitations bovines - lai,0.17,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations avec ovins et,0.18,Indicateurs,Superficie agricole utilisé,002,0,0,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations avec ovins et,0.18,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Exploitations avec ovins et,0.18,Indicateurs,Superficie agricole utilisé,002,,,0,NON
