LAT,LON,SPEED,COURSE,HEADING,ELAPSED,SHIPNAME,SHIPTYPE,SHIP_ID,TYPE_IMG,TYPE_NAME,STATUS_NAME,DESTINATION,FLAG,LENGTH,ROT,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE
26.61527,-71.7132,121.0,260.0,,26,[SAT-AIS],8,TXpnNU9UVTFNemc1T1RVMU16ZzVPUT09LStUTVk2U0k0akV5Ly84Wkx2NFAxNmc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.28,-75.21,130.0,259.0,,1,[SAT-AIS],8,TnpNNU1UUXhOek01TVRReE56TTVNUT09LUZzZ1dBUlRpc3VTVDVTckw1Mm82cmc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.99409,-75.60551,117.0,259.0,,24,[SAT-AIS],8,TVRnM056RTVNVGczTnpFNU1UZzNOdz09LUUwbUl4TTVjYzc3NFMrZFJDemtGQmc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12571,-78.57964,145.0,108.0,106.0,411,FRONT SAMARA,8,5823875,,,,FOS FRANCE,HK,275.0,0.0,48.0,226.0,26.0,158018.0,17.0
25.71,-76.85333,140.0,83.0,,1,[SAT-AIS],8,T0RVeE5EYzBPRFV4TkRjME9EVXhOQT09LUZSZEVWQ3VWUDJFSkF4YlFJRUVpb0E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12679,-78.52834,132.0,107.0,105.0,451,NORDIC CYGNUS,8,5648255,,,,FRFOS,KY,277.0,0.0,48.0,227.0,20.0,157526.0,17.0
25.72833,-76.83833,130.0,83.0,,3,[SAT-AIS],8,TnpneU9UY3lOemd5T1RjeU56Z3lPUT09LTFYVWlwbXFmR3JGZ29VYVRIZDgrMFE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
28.095,-67.03667,140.0,249.0,,3,[SAT-AIS],8,TWpnMU5EVXhNamcxTkRVeE1qZzFOQT09LUUwV3RyNVJ1T3Z1dGswM3kzQUh2cFE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.57338,-79.42301,127.0,7.0,12.0,79,SELENA,8,753861,,,,TRANMERE UK,LR,274.0,0.0,48.0,232.0,20.0,150296.0,17.0
26.81772,-79.3906,129.0,6.0,,10,[SAT-AIS],8,TnpjM016WXlOemMzTXpZeU56YzNNdz09LUY1NlUxUHd5SUg4RVZiSW9yUG9DL2c9PQ==,8.0,Tanker,Constrained by her Draught,,,,,,,,,
25.59899,-75.88525,173.0,325.0,326.0,181,ULSAN EXPRESS,7,141557,,,,PAMIT>USSAV,DE,366.0,-1.0,48.0,141.0,29.0,142023.0,11.0
26.25,-76.34333,160.0,328.0,,14,[SAT-AIS],7,TkRJM09UY3pOREkzT1Rjek5ESTNPUT09LUpVSW5wSWFZYXBqWGo5ZS9GUWhxRmc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
22.60177,-74.64253,169.0,179.0,,2,[SAT-AIS],7,T1RnME5qVTBPVGcwTmpVME9UZzBOZz09LW10Ny93dmxxQ2puanRFaTQwOFFJL0E9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
31.1828,-80.00394,203.0,156.0,155.0,325,EVER FULL,7,6684559,,,,COLON,LR,333.0,0.0,48.0,130.0,28.0,135000.0,11.0
29.69039,-79.02649,205.0,131.0,,15,[SAT-AIS],7,TVRjME1UZzJNVGMwTVRnMk1UYzBNUT09LThybW9OZENnN09QNDVEdjBPZjRhM0E9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
29.97627,-77.8913,152.0,337.0,,17,[SAT-AIS],7,T0RjNU5qZzNPRGM1TmpnM09EYzVOZz09LW12RG5UZVIvckNkWnBoQjNOVG5lNkE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
28.83667,-68.01,160.0,41.0,,9,[SAT-AIS],7,TVRjM09EWXdNVGMzT0RZd01UYzNPQT09LUZRcGRsVW12YUEvRlVnRVFoVTJRWUE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
32.255,-72.6,120.0,220.0,,2,[SAT-AIS],8,T0RneE56QTFPRGd4TnpBMU9EZ3hOdz09LWxHOENGcDNTWmZxd0JwTlFYZXBBbVE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.37519,-78.65296,0.0,328.0,227.0,2,MSC CANDICE,7,410644,,,,BSFPO,PA,336.0,0.0,45.0,260.0,18.0,116932.0,11.0
