LAT,LON,SPEED,COURSE,HEADING,ELAPSED,SHIPNAME,SHIPTYPE,SHIP_ID,TYPE_IMG,TYPE_NAME,STATUS_NAME,DESTINATION,FLAG,LENGTH,ROT,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE
26.51195,-72.3305,121.0,259.0,,28,[SAT-AIS],8,TmpjeE1UZzROamN4TVRnNE5qY3hNUT09LW9qZ05iMkFLVGF2MmZQdVd6SUlybWc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.15333,-75.87,130.0,253.0,,4,[SAT-AIS],8,TXpVeE5EY3lNelV4TkRjeU16VXhOQT09LWhsTjNNeHpXVHlVTmJyN080Rkt2VVE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.89612,-76.22404,115.0,260.0,,15,[SAT-AIS],8,TXpZek9EVTRNell6T0RVNE16WXpPQT09LVN0d2dXM3JVZmkrYU1qL1lSLzh1Q2c9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12571,-78.57964,145.0,108.0,106.0,579,FRONT SAMARA,8,5823875,,,,FOS FRANCE,HK,275.0,0.0,48.0,226.0,26.0,158018.0,17.0
25.8,-76.13333,140.0,82.0,,4,[SAT-AIS],8,TkRFMU1qazNOREUxTWprM05ERTFNZz09LVlSNkhkeUpGOTVNckdDZXVvcWhYTVE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
27.91,-67.76167,140.0,253.0,,6,[SAT-AIS],8,T0RJd01ESTJPREl3TURJMk9ESXdNQT09LTlKUDI5cTQzWnI5S0t6bWVFYjF3VHc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.57338,-79.42301,127.0,7.0,12.0,247,SELENA,8,753861,,,,TRANMERE UK,LR,274.0,0.0,48.0,232.0,20.0,150296.0,17.0
27.384,-79.31879,130.0,20.0,,21,[SAT-AIS],8,TWpjNE9ETTVNamM0T0RNNU1qYzRPQT09LURvYkdaaUJvVmo5OTNJajdTWjg0eVE9PQ==,8.0,Tanker,Constrained by her Draught,,,,,,,,,
26.93227,-76.81744,165.0,326.0,327.0,6,ULSAN EXPRESS,7,141557,,,,PAMIT>USSAV,DE,366.0,0.0,48.0,141.0,29.0,142023.0,11.0
21.87667,-74.57166,160.0,161.0,,10,[SAT-AIS],7,TVRRMU1EYzJNVFExTURjMk1UUTFNQT09LUVzS0d6NmpXQ2c1aVY5eHM0NE45Qmc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
31.1828,-80.00394,203.0,156.0,155.0,493,EVER FULL,7,6684559,,,,COLON,LR,333.0,0.0,48.0,130.0,28.0,135000.0,11.0
29.12861,-78.30766,209.0,131.0,,38,[SAT-AIS],7,TVRBM01Ea3hNVEEzTURreE1UQTNNQT09LXZoV01DZ1IrRHVqZ2dyYkl2L1JvZ3c9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
30.43293,-78.10555,22.0,32.0,,30,[SAT-AIS],7,TVRrNE1UTXdNVGs0TVRNd01UazRNUT09LUplL0hMT001YUVvNzA1akpVRWtLVUE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
29.41167,-67.41833,160.0,42.0,,5,[SAT-AIS],7,TmpNME56Y3lOak0wTnpjeU5qTTBOdz09LTRWaXQvcWpGQmJzaGR4bzQxWlZxNlE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
31.82333,-73.035,120.0,221.0,,5,[SAT-AIS],8,TWpZMU1UTTRNalkxTVRNNE1qWTFNUT09LTZNMTNXM211dDNkR0Nxd2xIdERhU0E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.38437,-78.65762,0.0,346.0,232.0,3,MSC CANDICE,7,410644,,,,BSFPO,PA,336.0,0.0,45.0,260.0,18.0,116932.0,11.0
25.98833,-75.85167,120.0,255.0,,11,[SAT-AIS],8,TnpJNU5qUXhOekk1TmpReE56STVOZz09LTFxZTNrOVlEUVg0WWlwbmVwTFE2M1E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
