LAT,LON,SPEED,COURSE,HEADING,ELAPSED,SHIPNAME,SHIPTYPE,SHIP_ID,TYPE_IMG,TYPE_NAME,STATUS_NAME,DESTINATION,FLAG,LENGTH,ROT,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE
26.22444,-79.0748,112.0,43.0,43.0,1,MSC RACHELE,7,415080,,,,BSFPO,PA,334.0,0.0,42.0,243.0,26.0,107366.0,11.0
32.6002,-79.58549,88.0,120.0,122.0,1242,MSC TORONTO,7,152756,,,,MAPTM,PT,324.0,0.0,42.0,249.0,18.0,105084.0,11.0
29.65,-75.325,130.0,110.0,,5,[SAT-AIS],7,TlRneU1EQTNOVGd5TURBM05UZ3lNQT09LTJoR1gzdGtwbmhkemEwOEJvSWpOVGc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
26.08918,-78.42125,169.0,103.0,102.0,356,CMA CGM ATTILA,7,149929,,,,EGSUZ,MT,334.0,0.0,42.0,244.0,17.0,101473.0,11.0
25.91167,-76.71574,163.0,62.0,,7,[SAT-AIS],7,TWpNNE1URTRNak00TVRFNE1qTTRNUT09LUxHMFZLdnFvMkNnRkg5dDdqVjRrcUE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
22.39333,-68.76667,140.0,268.0,,4,[SAT-AIS],8,TXpjd01UQXdNemN3TVRBd016Y3dNUT09LUlhdWdTeGp6VHYrcjR3a2VvTEEwQnc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.86262,-67.06219,189.0,261.0,,5,[SAT-AIS],8,TnpRM01EVXpOelEzTURVek56UTNNQT09LTFISXVlemZncVptWjFZNmlsbGp4R1E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.83113,-76.5901,160.0,7.0,72.0,1208,FLEX ENDEAVOUR,8,5163870,,,,OPEN SEA FOR ORDERS,MH,294.0,,46.0,238.0,21.0,95803.0,18.0
27.23333,-70.83833,150.0,74.0,,4,[SAT-AIS],8,TXpBNU16UXdNekE1TXpRd016QTVNdz09LUxNQWZIK1l2M2Y3dHZoRTl0bzNIclE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.04,-78.18667,180.0,285.0,,5,[SAT-AIS],8,T0RZeE5qSTNPRFl4TmpJM09EWXhOZz09LVFzbk1IOE1NOEc1VXFlQ1RJTUV4bGc9PQ==,8.0,Tanker,Restricted Manoeuvrability,,,,,,,,,
