LAT,LON,SPEED,COURSE,HEADING,ELAPSED,SHIPNAME,SHIPTYPE,SHIP_ID,TYPE_IMG,TYPE_NAME,STATUS_NAME,DESTINATION,FLAG,LENGTH,ROT,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE
26.584,-71.90942,121.0,259.0,,23,[SAT-AIS],8,TmpNMk16TTBOak0yTXpNME5qTTJNdz09LThEWFRPMlJ6Zmgwc1oxTGloeGxiN2c9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.24833,-75.39167,130.0,258.0,,5,[SAT-AIS],8,TmpBNU9Ua3lOakE1T1RreU5qQTVPUT09LTUwRm5JOEd0cW1majZRTDNITEtIaGc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.96647,-75.81637,114.0,262.0,,13,[SAT-AIS],8,TVRBeE1qazJNVEF4TWprMk1UQXhNZz09LUlTbktQSktqNWR0akxTNncvdS95dnc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12571,-78.57964,145.0,108.0,106.0,460,FRONT SAMARA,8,5823875,,,,FOS FRANCE,HK,275.0,0.0,48.0,226.0,26.0,158018.0,17.0
25.73167,-76.65667,140.0,83.0,,5,[SAT-AIS],8,TnpneE1USTNOemd4TVRJM056Z3hNUT09LTNLZU1OMGFleThDcXdqTVVjL1V5enc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
28.045,-67.24667,140.0,255.0,,4,[SAT-AIS],8,T1RnNE16Y3hPVGc0TXpjeE9UZzRNdz09LUs5bUFxWlRteWs3aEtZMmQ3RzRjMkE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.57338,-79.42301,127.0,7.0,12.0,128,SELENA,8,753861,,,,TRANMERE UK,LR,274.0,0.0,48.0,232.0,20.0,150296.0,17.0
26.90047,-79.37892,130.0,7.0,,36,[SAT-AIS],8,TmpFME56WXlOakUwTnpZeU5qRTBOdz09LUNDbUpqbldZYjlYRWJmeUU3b1N2dmc9PQ==,8.0,Tanker,Constrained by her Draught,,,,,,,,,
25.59899,-75.88525,173.0,325.0,326.0,230,ULSAN EXPRESS,7,141557,,,,PAMIT>USSAV,DE,366.0,-1.0,48.0,141.0,29.0,142023.0,11.0
26.46167,-76.48167,160.0,329.0,,9,[SAT-AIS],7,TlRrM09UazFOVGszT1RrMU5UazNPUT09LSsySktsdkRTd3RkK3dYRFRCaHhOU3c9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
22.37667,-74.63333,150.0,178.0,,5,[SAT-AIS],7,TVRnM01URTFNVGczTVRFMU1UZzNNUT09LUhwS0NqaW5uVmhHYVlBdTk5SnBSK1E9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
31.1828,-80.00394,203.0,156.0,155.0,374,EVER FULL,7,6684559,,,,COLON,LR,333.0,0.0,48.0,130.0,28.0,135000.0,11.0
29.59055,-78.89445,210.0,130.0,,37,[SAT-AIS],7,TWprNU16ZzJNams1TXpnMk1qazVNdz09LU5oQmQ5Q3EzR21BVjJUM1Q2SnlKTVE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
29.97627,-77.8913,152.0,337.0,,66,[SAT-AIS],7,TnpBM05UQTBOekEzTlRBME56QTNOUT09LXZZWVJYb0pmeW5XSTVLQ2xVY3preVE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
29.02,-67.82333,170.0,41.0,,4,[SAT-AIS],7,TXpVMk1qRTRNelUyTWpFNE16VTJNZz09LWgzdWU4Tis0VFpwbkM5TlpaWmI3MHc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
