LAT,LON,SPEED,COURSE,HEADING,ELAPSED,SHIPNAME,SHIPTYPE,SHIP_ID,TYPE_IMG,TYPE_NAME,STATUS_NAME,DESTINATION,FLAG,LENGTH,ROT,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE
26.59202,-71.86002,120.0,260.0,,15,[SAT-AIS],8,TVRjek5ESTFNVGN6TkRJMU1UY3pOQT09LWNLeStqR0VZTkllRDJJWjVlUGZxUkE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.265,-75.295,130.0,259.0,,8,[SAT-AIS],8,T0RZeU1EYzNPRFl5TURjM09EWXlNQT09LUdhQVRYNFpEZGZVTFZkbGRheHVQQXc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.98347,-75.68225,118.0,262.0,,30,[SAT-AIS],8,TmpVNE1EZzNOalU0TURnM05qVTRNQT09LWhjYzBxTFpxdGFmK3h5djVHTWt0NHc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12571,-78.57964,145.0,108.0,106.0,439,FRONT SAMARA,8,5823875,,,,FOS FRANCE,HK,275.0,0.0,48.0,226.0,26.0,158018.0,17.0
25.72,-76.76,140.0,82.0,,9,[SAT-AIS],8,TmpJMk16QTVOakkyTXpBNU5qSTJNdz09LTZ6S3RzellhcUZGcTlzNm1Xa1loQ0E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
28.075,-67.11333,140.0,255.0,,13,[SAT-AIS],8,TXpreU56WXdNemt5TnpZd016a3lOdz09LWk1dkozUGcxcnNCeFVVZGVydzVWL1E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.57338,-79.42301,127.0,7.0,12.0,107,SELENA,8,753861,,,,TRANMERE UK,LR,274.0,0.0,48.0,232.0,20.0,150296.0,17.0
26.84548,-79.38679,128.0,7.0,,30,[SAT-AIS],8,TkRNek5qTTJORE16TmpNMk5ETXpOZz09LXpZVzdhMUU3S2VaVktzNTZSQkladWc9PQ==,8.0,Tanker,Constrained by her Draught,,,,,,,,,
25.59899,-75.88525,173.0,325.0,326.0,209,ULSAN EXPRESS,7,141557,,,,PAMIT>USSAV,DE,366.0,-1.0,48.0,141.0,29.0,142023.0,11.0
26.355,-76.41333,160.0,330.0,,15,[SAT-AIS],7,T1RJNU1ERTJPVEk1TURFMk9USTVNQT09LVNRQmZZeDZXR2JPdThiYVprcnI2clE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
22.495,-74.63667,180.0,176.0,,8,[SAT-AIS],7,T1RnNE56QXpPVGc0TnpBek9UZzROdz09LU94RFZtYXp1T3VpdkkvdW41Y3lDaHc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
31.1828,-80.00394,203.0,156.0,155.0,353,EVER FULL,7,6684559,,,,COLON,LR,333.0,0.0,48.0,130.0,28.0,135000.0,11.0
29.59055,-78.89445,210.0,130.0,,16,[SAT-AIS],7,TnprME5EVTNOemswTkRVM056azBOQT09LTFVT2hlYWpSVnc3aG1EQWNHNFFNMXc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
29.97627,-77.8913,152.0,337.0,,45,[SAT-AIS],7,TmpBM05USTVOakEzTlRJNU5qQTNOUT09LXR5NmFMWHBxMVhtMHdSTVZzWVFsdGc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
28.92833,-67.91666,160.0,43.0,,10,[SAT-AIS],7,TlRJd056QTBOVEl3TnpBME5USXdOdz09LU1JcExhaTNXQXRtS1k3RVBMU3pvZ1E9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
32.19167,-72.66333,120.0,218.0,,6,[SAT-AIS],8,T0RZM016WXdPRFkzTXpZd09EWTNNdz09LWFpL0JsSG5LdUNndE5lSi9xcVJZR1E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.3765,-78.65398,1.0,321.0,234.0,4,MSC CANDICE,7,410644,,,,BSFPO,PA,336.0,0.0,45.0,260.0,18.0,116932.0,11.0
26.10333,-75.29166,130.0,256.0,,15,[SAT-AIS],8,TmpBMk5Ea3hOakEyTkRreE5qQTJOQT09LXlRT3hLcVJsN3lqWEZMWnprVFlJWHc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12352,-78.42001,125.0,10.0,109.0,231,FOS DA VINCI,8,213780,,,,LTBOT,MT,250.0,,43.0,208.0,27.0,115878.0,71.0
25.89167,-77.63732,120.0,106.0,,12,[SAT-AIS],8,TWprNE1USTVNams0TVRJNU1qazRNUT09LXJHaS9BMVk2SnVrOVppQUg0b1FBa0E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.5276,-78.76592,0.0,302.0,220.0,2,MSC ADONIS,7,3603412,,,,BSFPO,LR,300.0,0.0,48.0,233.0,32.0,115639.0,11.0
28.60413,-70.52432,125.0,244.0,,28,[SAT-AIS],8,TmpnNE9UUTJOamc0T1RRMk5qZzRPUT09LVNJUWt2Qld0YlgzdThRaWdtY203a2c9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.86336,-77.02258,179.0,143.0,142.0,76,ZIM XIAMEN,7,3568000,,,,KINGSTON,LR,299.0,0.0,48.0,227.0,18.0,111884.0,11.0
26.6,-76.82,120.0,144.0,,7,[SAT-AIS],7,TnpFM01qQTNOekUzTWpBM056RTNNZz09LW9tNEdiNUQ1MVJIcE9OSkFnUEZxcUE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
30.29667,-77.225,100.0,218.0,,6,[SAT-AIS],8,TlRjM09EWTFOVGMzT0RZMU5UYzNPQT09LTRBcHlOZWtRMll6UWJwTGlOZzdjNFE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.90711,-79.35586,113.0,29.0,33.0,87,MSC RACHELE,7,415080,,,,BSFPO,PA,334.0,0.0,42.0,243.0,26.0,107366.0,11.0
26.11333,-79.20167,110.0,40.0,,7,[SAT-AIS],7,T1RrM05UUXpPVGszTlRRek9UazNOUT09LXJwa2FDdFFCNDlnbkczbE5OWGNYaHc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
32.6002,-79.58549,88.0,120.0,122.0,1196,MSC TORONTO,7,152756,,,,MAPTM,PT,324.0,0.0,42.0,249.0,18.0,105084.0,11.0
29.72833,-75.56667,140.0,111.0,,16,[SAT-AIS],7,TVRFeU1qQXpNVEV5TWpBek1URXlNZz09LTF2M29WaFd1ZUFkekZVNWxRR0dZU2c9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
26.08918,-78.42125,169.0,103.0,102.0,310,CMA CGM ATTILA,7,149929,,,,EGSUZ,MT,334.0,0.0,42.0,244.0,17.0,101473.0,11.0
25.79492,-76.98967,165.0,69.0,,21,[SAT-AIS],7,TWpFMU5USTBNakUxTlRJME1qRTFOUT09LVRiR0ZkMlk0TU1HR1pTRzltMm9saHc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
22.40167,-68.51667,140.0,269.0,,15,[SAT-AIS],8,TlRjeE1EUTFOVGN4TURRMU5UY3hNQT09LW0zc1g5bGRSd0VxYTNXYURVLzg4cFE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.83113,-76.5901,160.0,7.0,72.0,1162,FLEX ENDEAVOUR,8,5163870,,,,OPEN SEA FOR ORDERS,MH,294.0,,46.0,238.0,21.0,95803.0,18.0
27.17333,-71.075,150.0,74.0,,9,[SAT-AIS],8,TlRnek1EazVOVGd6TURrNU5UZ3pNQT09LW9XTG5UWWpFMXd1VU5yZ0YvaVFpblE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.965,-77.93333,180.0,289.0,,7,[SAT-AIS],8,T0RBeE16SXpPREF4TXpJek9EQXhNdz09LWNMVE56aFdERWtTaTlsZTFVZGVhWXc9PQ==,8.0,Tanker,Restricted Manoeuvrability,,,,,,,,,
25.77053,-76.73557,182.0,7.0,73.0,1111,FLEX VIGILANT,8,6504589,,,,OPEN SEA FOR ORDERS,MH,297.0,,46.0,230.0,26.0,93764.0,18.0
27.12608,-70.65797,180.0,76.0,,11,[SAT-AIS],8,Tmprd09UZ3lOamt3T1RneU5qa3dPUT09LU5Lbnl6eUdOa2x6bzJlNFVERjNncHc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
