LAT,LON,SPEED,COURSE,HEADING,ELAPSED,SHIPNAME,SHIPTYPE,SHIP_ID,TYPE_IMG,TYPE_NAME,STATUS_NAME,DESTINATION,FLAG,LENGTH,ROT,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE
26.61527,-71.7132,121.0,260.0,,10,[SAT-AIS],8,Tnprek9UWTBOemt6T1RZME56a3pPUT09LWd6T2hWTlFVQTY4WEhoNkhJMnJYYkE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.295,-75.125,130.0,258.0,,6,[SAT-AIS],8,TmpZNE16TXdOalk0TXpNd05qWTRNdz09LWZqNFlrVHZiT3dpcDNmaXFTTEpLbGc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.99409,-75.60551,117.0,259.0,,8,[SAT-AIS],8,TkRNMk5EYzNORE0yTkRjM05ETTJOQT09LWtIQmIrUWhhZ1ppWndDbzdmZkJLQkE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12571,-78.57964,145.0,108.0,106.0,395,FRONT SAMARA,8,5823875,,,,FOS FRANCE,HK,275.0,0.0,48.0,226.0,26.0,158018.0,17.0
25.69833,-76.945,140.0,81.0,,6,[SAT-AIS],8,T0RrMU1qZzJPRGsxTWpnMk9EazFNZz09LWRQMm9HbmJEMFltSFMwSVZnSUcwcEE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12679,-78.52834,132.0,107.0,105.0,435,NORDIC CYGNUS,8,5648255,,,,FRFOS,KY,277.0,0.0,48.0,227.0,20.0,157526.0,17.0
25.72167,-76.91167,130.0,82.0,,5,[SAT-AIS],8,TnpRME9EazROelEwT0RrNE56UTBPQT09LW1QV3JZSzFReE5Qa0FPbVZ3OVd3dkE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
28.115,-66.95834,140.0,254.0,,5,[SAT-AIS],8,T1RJMU1qY3pPVEkxTWpjek9USTFNZz09LTkzY3dISVhIVEF2VVVrTzE1dWZyUVE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.59899,-75.88525,173.0,325.0,326.0,165,ULSAN EXPRESS,7,141557,,,,PAMIT>USSAV,DE,366.0,-1.0,48.0,141.0,29.0,142023.0,11.0
26.19167,-76.305,160.0,329.0,,13,[SAT-AIS],7,TXpVeU1qY3hNelV5TWpjeE16VXlNZz09LXM2WEpPVnFLbHdXTmdVZjgwTEZUY0E9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
22.725,-74.645,160.0,178.0,,12,[SAT-AIS],7,TXpjeU9EVXpNemN5T0RVek16Y3lPQT09LU1aOHFDYkx4STdia3hOZ3lBM0lwSWc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
31.1828,-80.00394,203.0,156.0,155.0,309,EVER FULL,7,6684559,,,,COLON,LR,333.0,0.0,48.0,130.0,28.0,135000.0,11.0
29.75192,-79.10733,208.0,130.0,,15,[SAT-AIS],7,TkRrMU1UWTBORGsxTVRZME5EazFNUT09LU1OL2hOMDlLNXlrUXpEZ0RiZzlPTlE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
